index,file,bbox,class,size (cm)
38,26_05_21-B3,"[2566.785535572145, 481.5839996852182, 441.9999999999941, 1183.999999999984]",Diplodus anularis,14.2478847
39,26_05_21-B3,"[2950.1596150327873, 680.8372413586566, 638.8263111053416, 1812.542906509202]",Pagellus erythrinus,21.8850856
40,26_05_21-B3,"[2401.5509359402176, 1021.1607634139685, 529.4890493959633, 1728.3839436241287]",Pagellus erythrinus,19.76808796
41,26_05_21-B3,"[1758.974813646957, 913.4569647547454, 609.0495801342167, 1777.766342013389]",Diplodus anularis,20.63836466
42,26_05_21-B19,"[625, 1210, 474.5323299963454, 1110]",Serranus scriba,12.92774496
43,26_05_21-B19,"[720.702962610902, 776.1493704286154, 709.9389868281478, 1079.6307172962618]",Symphodus tinca M,14.53795598
44,26_05_21-B19,"[1086, 287.5759525715951, 1195.4130870588615, 449.56139772373916]",Symphodus tinca H,14.29353736
45,26_05_21-B19,"[2152, 258.42763360138787, 1391.0502305087462, 426.57236639861213]",Symphodus tinca H,17.20831016
46,26_05_21-B19,"[1904.9155393467695, 1478.6544310704578, 455.4154518120754, 1286.6858246979716]",Serranus scriba,14.91776737
47,26_05_21-B19,"[2088.2752854696623, 1669.1592108064503, 592.3681831173617, 1352.509489993454]",Symphodus tinca H,15.80003203
48,26_05_21-B19,"[2686.1916474158284, 1720.0720969208226, 695.2704934526832, 968.1100646316797]",Serranus scriba,13.0218169
49,26_05_21-B19,"[2768.1641221658183, 1725.1923005355604, 896.3313174915147, 953.7690747675308]",Serranus scriba,15.66767663
50,26_05_21-B19,"[3118.9607135738565, 619.6916672478884, 383.03928642614346, 1276.263852092979]",Spicara maena,15.40779474
51,26_05_21-B19,"[2876.4107837821643, 630.5133891569295, 363.5103206306244, 1167.0594504456894]",Serranus scriba,13.77016696
52,26_05_21-B1,"[402.7939831999557, 740, 791.2060168000444, 2100]",Symphodus tinca M,23.67911171
53,26_05_21-B1,"[827, 282.1409218726092, 691, 1788.8590781273908]",Symphodus tinca M,20.47268033
54,26_05_21-B1,"[2010, 236.89064128301746, 949.7472596709395, 2164.1093587169826]",Symphodus tinca M,26.5983438
55,26_05_21-B1,"[2758.4675321492496, 221.03676991940415, 687.7527658914801, 1917.9632300805958]",Symphodus tinca H,22.9739118
56,26_05_21-B11,"[410.2734310581395, 785.34624613616, 524.1829408199231, 682.4713580115907]",Sepia officinalis,7.243751004
57,26_05_21-B11,"[346, 1537, 815.1772631628487, 629]",Sepia officinalis,7.316219518
58,26_05_21-B11,"[1215, 2180, 632.3087076358061, 439]",Sepia officinalis,5.62281666
59,26_05_21-B11,"[1856.759601876473, 1332, 513.7582641864001, 659.5783190007658]",Sepia officinalis,6.848279899
60,26_05_21-B11,"[1392.0698951272752, 1394.1306397284968, 424.93010487272477, 595.8693602715032]",Sepia officinalis,6.403690075
61,26_05_21-B11,"[1418, 472, 516.9703479863085, 610.8210537949776]",Sepia officinalis,6.253243194
62,26_05_21-B21,"[455.86938087232784, 558, 577.1306191276722, 1651.7711489443186]",Symphodus tinca M,19.13549599
63,26_05_21-B21,"[978.6928109727337, 297, 603.5625551178287, 1816.1654479940498]",Symphodus tinca M,20.89958602
64,26_05_21-B21,"[2979.1187593960626, 812.3809981027564, 492.490273898085, 1339.6190018972436]",Symphodus tinca H,16.29316239
65,26_05_21-B21,"[1848.583457240533, 2247.6066039212433, 1252.4300564034413, 433.0287855085239]",Symphodus tinca H,15.47727679
66,26_05_21-B21,"[475.75789125407124, 2242.192027000077, 1667.0729396562365, 481.8079729999231]",Symphodus tinca M,19.41005746
67,26_05_21-B2,"[734, 87.07136221786742, 646, 1920.9286377821327]",Symphodus tinca H,25.02154527
68,26_05_21-B2,"[1178.98811923581, 991.2218218160641, 527.0727583408186, 1560.7781781839358]",Symphodus tinca M,19.40986202
69,26_05_21-B2,"[1609.1446485823208, 855.8382020977848, 718.9145155174215, 1144.1157372842567]",Spicara maena,16.44399736
70,26_05_21-B2,"[2146, 1195, 437.0334823277876, 1535]",Symphodus tinca H,19.33784612
71,26_05_21-B2,"[2488, 1487, 369, 1366.62896508123]",Pagellus erythrinus,17.44520344
72,26_05_21-B2,"[3008, 738.0144461836451, 571.3549363690772, 1719.9041130583548]",Symphodus tinca M,22.80202434
73,26_05_21-B31,"[604.2429219837745, 111.63153355752522, 738.3127516065601, 876.5234629247316]",Diplodus anularis,13.87100193
74,26_05_21-B31,"[442.9919730285592, 1783.6715760274415, 1022.0615003849853, 535.3284239725585]",Diplodus anularis,13.72597435
75,26_05_21-B31,"[1316.7499299330236, 1738.869495810899, 536.6003898336962, 967.1659720954649]",Diplodus anularis,12.22837161
76,26_05_21-B31,"[2019.238074051308, 1521.3284499521, 488.5716427705902, 1102.3289021941428]",Diplodus anularis,14.47628999
77,26_05_21-B31,"[2466.9322557441433, 1442.1206780854407, 863.678366697653, 1025.5004571900238]",Diplodus anularis,15.50194875
78,26_05_21-B31,"[2854.1582317901602, 1617.003914324779, 658.7010773407646, 819.3598766921705]",Diplodus anularis,13.83681706
79,26_05_21-B31,"[1643.3191671528891, 815.3026869870732, 474.6621298091479, 1144.0574410784593]",Diplodus anularis,15.00434343
80,26_05_21-B12,"[600, 1156.718663097606, 398, 1554.281336902394]",Pagellus acarne,17.96582122
81,26_05_21-B12,"[1538, 1016.6404321256487, 433.0094165311514, 1646.538596810497]",Pagellus acarne,19.54330235
82,26_05_21-B5,"[1128.4574380310698, 2300.043811817305, 1808.3973810024665, 533.6203222664749]",Symphodus tinca M,22.57583004
83,26_05_21-B5,"[2843, 670.1806987782579, 603.1562003760478, 2090.819301221742]",Symphodus tinca H,26.04969071
84,26_05_21-B6,"[437.28033329486664, 707, 768.5005911195746, 1991.631346608694]",Symphodus tinca H,23.22109486
85,26_05_21-B6,"[1060.4375052184557, 1314.965942013484, 1236.3375400135567, 1432.4766506395927]",Symphodus tinca M,20.44639149
86,26_05_21-B6,"[780.1331689851598, 230.08492297927427, 1501.1734282597395, 1882.0000000000005]",Symphodus tinca M,26.12238411
87,26_05_21-B6,"[2105, 272.8364375112566, 575.4234857185506, 2051.500415157247]",Symphodus tinca M,23.57094613
88,26_05_21-B6,"[2453.587829914068, 913, 670.4121700859318, 2098]",Symphodus tinca H,24.10158359
89,26_05_21-B6,"[2978.6253074522488, 460.4358747826469, 569.2560502333354, 1947.5641252173532]",Symphodus tinca H,22.60393871
90,26_05_21-B4,"[543, 325.97032740518955, 696, 2063.0296725948106]",Symphodus tinca H,23.82141
91,26_05_21-B4,"[1132.2473465449477, 1827.8936273157506, 2148.900987939789, 662.1063726842494]",Symphodus tinca M,25.60787983
92,26_05_21-B13,"[925.6798060064256, 440.10218334461194, 2410.7707321639127, 650.4434951876939]",Mullus barbatus,28.64954202
93,26_05_21-B13,"[520.2696759669552, 474, 818.216618946424, 1994]",Mullus barbatus,23.16108894
94,26_05_21-B13,"[964.2600724911401, 649.074898628837, 820.6572710102796, 1944.7337315504149]",Mullus barbatus,22.3015644
95,26_05_21-B13,"[1353.352965367779, 867.5188034461529, 865.950928504077, 1598.5550535464872]",Mullus barbatus,18.58107779
96,26_05_21-B13,"[2203.396802116503, 1018.9472078754591, 533.5830453151489, 1658.052792124541]",Mullus barbatus,17.74925519
97,26_05_21-B13,"[3046, 1020.7717976802023, 582.4491662295914, 1653.2282023197977]",Mullus barbatus,18.83720692
98,26_05_21-B24,"[384.1292309715948, 508, 479.8707690284052, 794.6123070852157]",Scorpaena porcus,10.65224607
99,26_05_21-B24,"[827.2462542639547, 302.86335692575113, 820.504714486561, 784.2131598073477]",Pagellus acarne,13.04781724
100,26_05_21-B24,"[851.4134348553773, 1266.4085491662372, 370.8050152006574, 845.7510133938399]",Scorpaena porcus,9.419435994
101,26_05_21-B24,"[719.6140396447211, 1946.5212521567391, 1028.385960355279, 701.4787478432609]",Symphodus tinca H,13.55430895
102,26_05_21-B24,"[849.1947994686084, 1461.1824867508592, 1275.9999999999936, 1205.9999999999939]",Serranus scriba,17.96203531
103,26_05_21-B24,"[1693.9144052443874, 1983.3865010909574, 887.9277116992919, 626.9440328911253]",Serranus scriba,12.69609664
104,26_05_21-B24,"[1300.2723166742855, 445.963284666635, 1098.9061875636219, 302.03854278064466]",Serranus scriba,13.07739756
105,26_05_21-B24,"[1209.1933436874085, 391.74880307617167, 419.8858323891268, 1087.8286698556137]",Serranus scriba,13.20353024
106,26_05_21-B24,"[1428.0312367987578, 886.8973460205655, 413.4214042041626, 941.5047542601296]",Serranus scriba,12.63582003
107,26_05_21-B24,"[1976.413069949402, 1358.5411811163237, 880.7500562765438, 277.5768129488574]",Scorpaena porcus,11.04383066
108,26_05_21-B24,"[2584.868862484121, 269.797074881665, 802.4639738254969, 508.9130500671098]",Serranus scriba,12.23297782
109,26_05_21-B24,"[2613.377187729561, 473.1457652331807, 1143.296294875046, 560.2405347392132]",Symphodus tinca H,15.95643544
110,26_05_21-B15,"[691.4304931207433, 174.46110433486888, 883.9474703363786, 844.1361251856741]",Serranus scriba,13.41495812
111,26_05_21-B15,"[1167.8519154465284, 281.3182334257861, 1192.0724272151178, 739.2927381732611]",Serranus scriba,16.30806625
112,26_05_21-B15,"[1653.8501356107452, 333.2464914103622, 968.8899748457732, 687.1068864496052]",Serranus scriba,14.20938748
113,26_05_21-B15,"[1542.3361917696975, 958.5324862479648, 734.8579389796496, 1673.1193004367537]",Serranus scriba,20.50595049
114,26_05_21-B15,"[2086.373728539277, 1931.0126835718563, 884.7762793923675, 672.8351780536875]",Scorpaena porcus,13.38057226
115,26_05_21-B15,"[2949.513655337168, 751.9315106570422, 469.224106640896, 1535.4584454767605]",Serranus scriba,16.31266487
116,26_05_21-B15,"[2500, 209.85322576994892, 895, 636.7554279005402]",Serranus scriba,13.71552405
117,26_05_21-B15,"[2232.383208760067, 710.4865964338023, 474.77727342097614, 1375.303094062409]",Serranus scriba,17.61982212
118,26_05_21-B16,"[1145.6840299244068, 184.772871596779, 1074.509876271266, 1262.2883012507107]",Serranus scriba,18.73888048
119,26_05_21-B16,"[1707.7301046709226, 372.37340695345193, 1031.0, 327.99999999999994]",Serranus scriba,13.82782229
120,26_05_21-B16,"[2568.404040372224, 893.9829819652296, 660.0, 480.0]",Scorpaena porcus,10.31052799
121,26_05_21-B16,"[2308.9727949058342, 949.384477049667, 812.8198657658536, 523.5309510048079]",Serranus scriba,11.89022681
122,26_05_21-B16,"[1977.8801854054568, 951.5582301117843, 1186.3917206242213, 656.5714864138317]",Serranus scriba,16.92799514
123,26_05_21-B16,"[2905.58354780347, 1193.549007403385, 354.876684909299, 727.3215225368806]",Scorpaena porcus,10.6324648
124,26_05_21-B16,"[2883.6979654504985, 1554.5187341623418, 690.3034603425076, 942.6724673494459]",Serranus scriba,15.03224545
125,26_05_21-B16,"[2382.158032128384, 360.34762799998924, 713.2670003622543, 359.5615256341741]",Scorpaena porcus,11.02292715
126,26_05_21-B16,"[1397.215649588471, 1286.132816650442, 547.7891975621183, 857.6820106809139]",Serranus scriba,12.72964946
127,26_05_21-B16,"[1046.6599984950878, 1063.5786190370343, 825.5856516534136, 1047.841597154695]",Serranus scriba,15.15184187
128,26_05_21-B16,"[962.3409837654016, 891.7569491871898, 608.6009414245926, 796.2150439276206]",Scorpaena porcus,11.22708363
129,26_05_21-B16,"[822.6477387550224, 694.168075796041, 417.1511233467611, 1413.0692489980622]",Serranus scriba,17.42873241
130,26_05_21-B16,"[771, 2068.136333219303, 1441.14573347666, 552.4738267992475]",Serranus scriba,17.51470339
131,26_05_21-B29,"[572, 1343.9113299055957, 381, 1331.861446623147]",Serranus scriba,14.54724357
132,26_05_21-B29,"[860.4663294107986, 974.7162508071223, 635.2403795070779, 524.2440766362175]",Scorpaena porcus,8.831994564
133,26_05_21-B29,"[1345.6649205456233, 216.11632738071992, 594.9747720591474, 789.3956621414671]",Scorpaena porcus,10.91022351
134,26_05_21-B29,"[2221.2341840900967, 1192.9539265201802, 951.0629487384699, 410.33063236248427]",Scorpaena porcus,11.18765867
135,26_05_21-B29,"[3226.331671561543, 1897.4988761625857, 362.2481318893974, 701.5011238374143]",Scorpaena porcus,8.97064112
136,26_05_21-B29,"[2620.102298544353, 1882.703727840851, 950.7520312026959, 805.7174779805725]",Serranus scriba,13.86415229
137,26_05_21-B29,"[2043.7898360922193, 1963.7318132891949, 885.9912529020605, 275.05021728146926]",Scorpaena porcus,10.42697658
138,26_05_21-B29,"[2050.6871284682447, 2144.511927230838, 893.6333682699496, 555.1536258977148]",Scorpaena porcus,11.45798254
139,26_05_21-B29,"[1386.9942537193847, 2222.700820226524, 1113.4628387935477, 468.1141904746469]",Serranus scriba,13.22798468
140,26_05_21-B29,"[1843.0577299831705, 1038.0840586428467, 456.78718510066824, 1283.9423581207975]",Serranus scriba,14.61681029
141,26_05_21-B29,"[1331.5894803452709, 872.0723996766461, 745.4568289905249, 1447.5357821561697]",Scorpaena porcus,16.92778041
142,26_05_21-B10,"[1443, 287.17487998653297, 1648, 587.8251200134671]",Symphodus tinca H,19.8960517
143,26_05_21-B10,"[550.7428681180297, 854, 518.2571318819703, 1638]",Symphodus tinca M,18.07630873
144,26_05_21-B10,"[775.244824606249, 2165.503307793133, 1326.8964140336302, 580.2861754966016]",Symphodus tinca H,15.06962392
145,26_05_21-B10,"[3089.154630597049, 1059, 560.1522570052462, 1698.3199921668966]",Symphodus tinca H,19.39243034
146,26_05_21-B8,"[484.8921179191469, 838, 608.0485956145891, 1930.4127751739306]",Symphodus tinca M,21.34449779
147,26_05_21-B8,"[1015.782638363336, 359.161833104977, 554.217361636664, 1706.838166895023]",Symphodus tinca M,19.39392963
148,26_05_21-B8,"[1381.9281654755325, 594.3945628411385, 634.9567453022685, 1883.8652669457315]",Symphodus tinca M,21.74118445
149,26_05_21-B8,"[1956, 794.8740446594312, 541.9362534563602, 1938.5928403293092]",Symphodus tinca H,21.93554468
150,26_05_21-B8,"[2545.5779515596973, 1279.4081117521823, 914.3303093886184, 1445.1249164420892]",Symphodus tinca H,19.64179724
151,26_05_21-B8,"[2962.1517843209826, 818.6552929405883, 597.2325728051151, 1713.8439645583899]",Symphodus tinca M,20.43798218
152,26_05_21-B8,"[1647, 349.64549127349574, 1589.1511414679176, 588.5110454639504]",Symphodus tinca H,19.83077326
153,26_05_21-B26,"[483.50068789332494, 1023, 413.2090821832175, 1565]",Pagellus erythrinus,16.89155312
154,26_05_21-B26,"[788.5313139595777, 747, 354.4686860404223, 1818]",Pagellus erythrinus,20.07075686
155,26_05_21-B26,"[1034, 868, 477.54812457994626, 1635]",Pagellus erythrinus,17.96557917
156,26_05_21-B26,"[1457, 624.5516235576415, 501.584417093349, 2046.4363473769154]",Pagellus erythrinus,23.1072211
157,26_05_21-B26,"[1784, 757, 591, 1813.8744066845584]",Pagellus erythrinus,20.3643605
158,26_05_21-B18,"[549.2916286596986, 1176.4496629199073, 362.52262115795565, 1359.2579396479362]",Serranus scriba,14.75889779
159,26_05_21-B18,"[681.5246190914762, 1327.4532715573196, 498.614236090849, 1277.9608572076386]",Serranus scriba,14.57840835
160,26_05_21-B18,"[1587.44354373264, 1612.6709226112555, 356.7780268086851, 1130.9190283747005]",Serranus scriba,13.04966994
161,26_05_21-B18,"[1874.6559261325492, 1400.122898635762, 339.3867756899872, 1316.776613472515]",Serranus scriba,14.80077135
162,26_05_21-B18,"[2261.1725544359847, 1686.3356901928657, 1002.053410174607, 988.692698038946]",Serranus scriba,16.08101445
163,26_05_21-B18,"[2407.251738556342, 1410.5640026972512, 604.3444535089052, 778.8547705105077]",Scorpaena porcus,11.08313358
164,26_05_21-B18,"[2012.4252726714237, 991.930969777762, 993.1349009395915, 912.2026369127462]",Serranus scriba,15.19880858
165,26_05_21-B18,"[2946.5700130866976, 925.9418039361825, 804.1141904746464, 557.6365276881994]",Scorpaena porcus,11.76844538
166,26_05_21-B18,"[2298, 414.23738942668814, 1258, 484.7863096624573]",Serranus scriba,15.72430307
167,26_05_21-B28,"[579.7000097747393, 48.43670681786029, 2101.4802108001722, 2470.457751295621]",Sphyraena sphyraena,45.495025
168,26_05_21-B28,"[2277, 944, 475, 1583.0019072480559]",Pagellus erythrinus,19.58492595
169,26_05_21-B28,"[1616, 1048, 655.0242052238318, 906]",Scorpaena porcus,13.15764461
170,20_05_21-B20,"[670.6495017237237, 561.9976397798875, 596.6565270620633, 1908.079064358885]",Pagellus erythrinus,22.75925437
171,20_05_21-B20,"[955.7920273480914, 222.21246064575303, 716.2079726519086, 1901.6746939757948]",Pagellus erythrinus,23.77575287
172,20_05_21-B20,"[1681.4258858723824, 383, 586.5741141276176, 1720]",Pagellus erythrinus,20.86124748
173,20_05_21-B20,"[1825.3645310298627, 626.8916472448151, 570.019240974035, 2060.655331387307]",Pagellus erythrinus,24.66468425
174,20_05_21-B20,"[2136.568586358278, 729.6421079139204, 520.5223358340454, 1846.0462764791887]",Pagellus erythrinus,22.42348748
175,20_05_21-B20,"[2418.498380787777, 804.9908836319141, 509.0801635349876, 1877.25986017811]",Pagellus erythrinus,22.53267282
176,20_05_21-B20,"[2358.0339334090872, 420.11687812089264, 879.534929857211, 1731.9990125157447]",Pagellus erythrinus,23.29220962
177,20_05_21-B20,"[3016.0911410131735, 140.7592066510568, 562.7755597832761, 1792.2627061566498]",Pagellus erythrinus,22.86019572
178,20_05_21-B30,"[648, 379.32311673325887, 693.2370617833715, 972.5712024379808]",Diplodus anularis,13.69033672
179,20_05_21-B30,"[842.6202677236842, 666.8430544158804, 492.5061642725499, 1057.7553697572685]",Diplodus anularis,13.40991245
180,20_05_21-B30,"[1031, 1491.8001238277106, 490.57695994194387, 1185.9675864402343]",Diplodus anularis,14.89596747
181,20_05_21-B30,"[1427.1659140685474, 1399.9311894549737, 457.8340859314526, 1275.171590660958]",Diplodus anularis,15.15339455
182,20_05_21-B30,"[1943, 1763.8052637732678, 699.0565209047131, 913.1947362267322]",Diplodus anularis,13.58023159
183,20_05_21-B30,"[2495, 1482.5509673339764, 517, 1165.4269498180881]",Diplodus anularis,14.9518535
184,20_05_21-B30,"[2782.1483565397016, 1442.6186513696396, 470.5939718894074, 1173.515882582262]",Diplodus anularis,15.22824156
185,20_05_21-B30,"[1330.2197385009176, 494.41622705797596, 798.2724091523919, 662.5006674318006]",Diplodus anularis,13.06091286
186,20_05_21-B30,"[1391.1689423478729, 402.2105968888444, 752.6819752248234, 809.4496569401132]",Diplodus anularis,13.01736697
187,20_05_21-B30,"[2030.2296657271704, 439.62947662393873, 511.8070531007738, 1118.019253524608]",Diplodus anularis,14.08601012
188,20_05_21-B30,"[2558.9299129608594, 399.31747444714296, 683.20700759893, 799.5940420792788]",Diplodus anularis,12.60868965
189,20_05_21-B30,"[2677.5046116509907, 131.6963988395243, 843.1037727377511, 747.703062951301]",Diplodus anularis,13.69036054
190,20_05_21-B9,"[623.4425817474795, 356.8231016436428, 1556.0719600774223, 467.94722699461755]",Pagellus acarne,18.77750483
191,20_05_21-B9,"[1590.6377329161508, 265.6093271209964, 1814.4060259805522, 533.5290446766608]",Pagellus erythrinus,23.11831416
192,20_05_21-B9,"[1441.7924704106858, 1122.4619637082526, 1794.2502416503066, 493.14766981206367]",Pagellus erythrinus,22.14258956
193,20_05_21-B9,"[1246.558793258715, 1203.8679532155159, 1534.441206741285, 712.1320467844841]",Pagellus erythrinus,20.14350878
194,20_05_21-B9,"[1619, 1829.0184590448066, 1464.786514190962, 376.9815409551934]",Pagellus acarne,18.88229809
195,20_05_21-B9,"[1101.6446797559854, 2183, 1488.9186264271318, 408]",Pagellus erythrinus,18.614188
196,20_05_21-B9,"[3029.736869531363, 983.7146840652957, 427.8224510428763, 1532.953447689269]",Pagellus erythrinus,18.68940325
197,20_05_21-B9,"[728.6062454352258, 744.1043130836606, 586.7143651866658, 1772.0681842833037]",Pagrus pagrus,20.94685427
198,20_05_21-B14,"[999.1277130070001, 142.01279259974808, 1782.912808325449, 1202.8769481228512]",Pagellus erythrinus,25.01367233
199,20_05_21-B14,"[765.6869453864182, 669.9911272745671, 612.3130546135818, 2104.008872725433]",Pagellus erythrinus,26.61404025
200,20_05_21-B14,"[1366, 1908.5705281833154, 1666.409605478117, 862.1599547674052]",Pagellus erythrinus,22.38525109
201,20_05_21-B14,"[2950, 1080.909595852101, 593.6328684865384, 1745.3486453459539]",Pagellus erythrinus,21.98019157
202,20_05_21-B14,"[2699, 382.7147970679471, 986, 1636.4297824413989]",Pagellus erythrinus,23.78015657
203,20_05_21-B27,"[1904.7180879317048, 955, 468.04739210852176, 1472.4938283948868]",Pagrus pagrus,17.34606715
204,20_05_21-B27,"[588.465458149278, 799.6410622218417, 1111.9081544011553, 1104.4855365480103]",Pagrus pagrus,16.87775693
205,20_05_21-B19,"[718, 533, 561.6876375780955, 1986.6833866125776]",Pagellus erythrinus,23.61606844
206,20_05_21-B19,"[1022.7579463490234, 294, 683.3908973705189, 1898.8951377555895]",Pagellus erythrinus,22.75873596
207,20_05_21-B19,"[1668.6771643357108, 822.695656406262, 1316.187663976287, 1344.0066898991677]",Pagellus erythrinus,21.78328574
208,20_05_21-B19,"[1849.0407832379815, 366.1264293995889, 1699.1376886817256, 1190.057525146734]",Pagellus erythrinus,24.26751621
209,20_05_21-B19,"[2219.405084429348, 968.8755082864047, 1278.2099344168614, 1313.4708981249125]",Pagellus erythrinus,21.79332216
210,20_05_21-B1,"[1290.3402857548572, 2024, 1243.6597142451428, 268]",Pagellus acarne,15.86775196
211,20_05_21-B1,"[1298.1860044539533, 2433, 1204.8310900288632, 273]",Pagellus acarne,15.2971398
212,20_05_21-B1,"[3054.739050544337, 1020.2766879773721, 434.2609494556632, 1515.5459744971076]",Pagellus erythrinus,19.4975142
213,20_05_21-B2,"[1572.7835437995113, 671.9335013105683, 499.37997241156654, 1804.597606541999]",Serranus scriba,19.83323007
214,20_05_21-B2,"[1989.604354322964, 937.1428658288902, 388.7942944304041, 925.3946842641027]",Scorpaena porcus,10.68708868
215,20_05_21-B2,"[2797.4508557682016, 1060.3685152167238, 442.96585658239746, 1348.7318618329712]",Scorpaena porcus,15.4989713
216,20_05_21-B2,"[3251.1384683081956, 1227.386781966244, 368.03630870278766, 1258.3756423310886]",Scorpaena porcus,14.34238049
217,20_05_21-B2,"[2867.513343611617, 347.36169533773744, 761.2644080437917, 889.8219484817794]",Serranus scriba,12.40660855
218,20_05_21-B2,"[2349.9189901027453, 1055.5402665514066, 356.14111004983033, 1305.8578500922035]",Serranus scriba,14.57111789
219,20_05_21-B31,"[636.4123424960495, 1389, 507.04603635031924, 1289]",Diplodus anularis,14.66584501
220,20_05_21-B31,"[1008, 1067.9448947619228, 777.2683612876565, 1394.1799336278862]",Diplodus anularis,17.13203039
221,20_05_21-B31,"[1399, 1480.9067094772702, 812, 948.4958574972222]",Diplodus anularis,13.32880339
222,20_05_21-B31,"[2303.9516620523887, 1457.727399651842, 778.642759747007, 971.6676455666434]",Diplodus anularis,14.15895344
223,20_05_21-B31,"[2743.247576887005, 1390.2593722220722, 692.4394252045627, 1180.8421752328395]",Diplodus anularis,15.13318883
224,20_05_21-B31,"[1617.75897925449, 874.944048663572, 585.5907851799034, 940.494291349542]",Diplodus anularis,12.54997846
